Dates,Status,Description,Group
03/05/2022,Public Holiday,Eid Al-Fitr 1442 Hijriyah,Islamic
04/05/2022,Joint Holiday,Eid Al-Fitr 1442 Hijriyah,Islamic
05/05/2022,Joint Holiday,Eid Al-Fitr 1442 Hijriyah,Islamic
06/05/2022,Joint Holiday,Eid Al-Fitr 1442 Hijriyah,Islamic
16/05/2022,Public Holiday,Vesak Day 2565,Buddha
26/05/2022,Public Holiday,Ascension Day of Jesus,Christian
01/06/2022,Public Holiday,Pancasila birthday,National
09/07/2022,Public Holiday,Eid al-Adha 1443 Hijriyah,Islamic
30/07/2022,Public Holiday,Islamic New Year 1444 Hijriyah,Islamic
17/08/2022,Public Holiday,Republic of Indonesia Independence Day,National
08/10/2022,Public Holiday,Birthday of Prophet Muhammad,Islamic
25/12/2022,Public Holiday,Christmas,Christian
